PLANT ID,BOTANICAL NAME,COMMON NAME,PLANT TYPE,FOLIAGE COLOR(SPRING),FOLIAGE COLOR(FALL),FLOWERS,LEAF TYPE,HARDINESS ZONE,SOIL TYPE,LIGHT REQUIREMENTS,IMAGE
,,,,,,,,,,,
21,RUDBECKIA HIRTA,BLACKEYED SUSAN,WILDFLOWER,LIGHT GREEN,BROWN,YELLOW,SIMPLE LANCEOLATE,4A,9,PART SHADE,http://www.illinoiswildflowers.info/prairie/photox/er_goldenrod1.jpg
22,GLABERRIMA SSP INTERIOR,SMOOTH PHLOX,WILDFLOWER,GREEN,BROWN,"PINK, PURPLE",SIMPLE LANCEOLATE,3A,20,PART SHADE,http://www.wildflower.org/image_archive/320x240/PCD3422/PCD3422_IMG0073.JPG
23,ASCLEPIAS TUBEROSA,BUTTERFLY MILKWEED,WILDFLOWER,DARK GREEN,YELLOW,ORANGE,SIMPLE LANCEOLATE,4A,13,FULL SUN,https://newfs.s3.amazonaws.com/taxon-images-1000s1000/Apocynaceae/asclepias-tuberosa-interior-fl-atal.jpg
24,ECHINACEA PALLIDA,PALE PURPLE CONEFLOWER,WILDFLOWER,GREEN,YELLOW,"PURPLE, PINK",SIMPLE LANCEOLATE,4A,6,PART SHADE,https://files.dnevnik.si/g/mojdom/_custom/Laura/trajnice_vs.jpg
25,TRADESCANTIA PALLIDA,SPIDERWORT,WILDFLOWER,PURPLE,PURPLE,PINK  ,SIMPLE OBLANCEOLATE,3B,19,PART SHADE,"https://almostedenplants.com/shopping/images/full/Tradescantia,%20Purple%20Heart%20Jew.JPG"
26,RATIBIDA PALMATA,YELLOW CONEFLOWER,WILDFLOWER,GREEN,BROWN,YELLOW,SIMPLE LANCEOLATE,4A,7,PART SHADE,https://www.nps.gov/common/uploads/photogallery/mwr/park/wica/A6515739-155D-4519-3EB7BF2F62016B22/A6515739-155D-4519-3EB7BF2F62016B22-large.jpg
27,SILPHIUM INTEGRIFOLIUM,ROSINWEED,WILDFLOWER,GREEN,BROWN,YELLOW,SIMPLE LANCEOLATE,3A,11,FULL SUN,http://www.illinoiswildflowers.info/prairie/photox/rosinweed1.jpg
28,MONARDA FISTULOSA,WILD BERGAMOT,WILDFLOWER,GREEN,BROWN,PINK,SIMPLE LANCEOLATE,4A,7,FULL SUN,https://diggingri.files.wordpress.com/2013/07/dscn0504.jpg?w=640&h=480
29,ASCLEPIAS YRIACA,COMMON MILKWEED,WILDFLOWER,LIGHT GREEN,BROWN,"SHOWY, PINK",SIMPLE OBLANCEOLATE,3A,16,PART SHADE,http://www.pfaf.org/Admin/PlantImages/AsclepiasSyriaca2.jpg
30,LOBELIA CARDINALIS,CARDINAL FLOWER,WILDFLOWER,LIGHT GREEN,YELLOW,RED,SIMPLE LANCEOLATE,3B,20,FULL SUN,https://fromlynnsgarden.files.wordpress.com/2011/01/cardinal-flower.jpg?w=545
31,ALLIUM CERNUUM,NODDING ONION,WILDFLOWER,LIGHT GREEN,YELLOW,PINK,SIMPLE LANCEOLATE,4A,13,PART SHADE,https://www.accentnatural.com/wp-content/uploads/2017/05/Joan-Rudolph-261-Nodding-Pink-Onion-Allium-cernuum-199x300.jpg
32,VERBONA STRICTA,HOARY VERVAIN,WILDFLOWER,LIGHT GREEN,YELLOW,PURPLE   ,SIMPLE OBLANCEOLATE,3B,15,PART SHADE,http://static.inaturalist.org/photos/503400/original.JPG?1379548533
33,VERONICASTRUM VIRGINICUM,CULVERS ROOT,WILDFLOWER,GREEN,YELLOW,WHITE,SIMPLE LANCEOLATE,4A,15,FULL SUN,https://davisla.files.wordpress.com/2011/07/veronicastrum-virginicum-album-e1311761179833.jpg
34,CACALIA ATRIPLICIFOLIA,PALE INDIAN PLANTAIN,WILDFLOWER,GREEN,YELLOW,WHITE,SIMPLE HEART SHAPED,3B,6,FULL SUN,http://ftfc.org/mng-july-2013-photos/#prettyPhoto[postimages]/6/
35,SOLIDAGO JUNCEA,EARLY GOLDENROD,WILDFLOWER,GREEN,YELLOW,YELLOW,SIMPLE LANCEOLATE,3B,8,FULL SUN ,https://perverdonk.com/Wild%20Flowers/Goldenrod/Early%20Goldenrod/200808051423094%20Early%20Goldenrod%20(Solidago%20juncea)%20-%20Misery%20Bay%2C%20Manitoulin%20Island.JPG
,,,,,,,,,,,
36,JUNIPERUS COMMUNIS,COMMON JUNIPER,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FLAT SCALE-LIKE,3B,7,PART SHADE,http://www.uwgb.edu/biodiversity/herbarium/shrubs/juncom_aspect03gf516.jpg
37,JUNIPERUS HORIZONTALIS,CREEPING JUNIPER,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FLAT SCALE-LIKE,4A,13,FULL SUN,http://www.onlineplantguide.com/Image%20Library/J/4528.jpg
38,HYDRANGEA PANICULATA,HYDRANGEA,DECIDUOUS SHRUB,DARK GREEN,BROWN,WHITE,SIMPLE OBLONG,3B,13,PART SHADE,http://www.newplantsandflowers.com/wp-content/uploads/Hydrangea-paniculata-Polar-Bear-photo-Breederplants-300x225.jpg
39,ROSA 'RADRAZZ' KNOCK OUT,KNOCKOUT ROSE,DECIDUOUS SHRUB,GREEN,BROWN,RED,SIMPLE OBANCEOLOATE,3B,15,FULL SUN,https://www.brighterblooms.com/images/D.cache.dpthmbn/1553.jpg
40,BUXUS,BOXWOOD,DECIDUOUS SHRUB,GREEN,BROWN,"NON-SHOWY, WHITE",SIMPLE OBLONG,4A,15,FULL SUN,http://russellsny.com/photogallery/plog-content/thumbs/plants/shrubs---evergreen---broad-leaf/large/264-boxwoodgreenmountaincolumnar-copy.jpg
41,PHYSOCARPUS OPULIFOLIUS,EASTERN NINEBARK ,DECIDUOUS SHRUB,GREEN,BROWN,"WHITE, PINK","SIMPLE, ELLIPTIC",3B,7,PART SHADE,http://2.bp.blogspot.com/-LLdQUqg6PXw/US93Pvn1YXI/AAAAAAAAbt8/hneEBcWJPyM/s1600/Physocarpus+opulifolius+'Nugget'+at+Morton+2010c.jpg
42,LONICERA PERICLYMENUM,HONEYSUCKLE,DECIDUOUS SHRUB,GREEN,BROWN,"RED, YELLOW, ORANGE",SIMPLE OBLONG,4A,13,FULL SUN,https://4.bp.blogspot.com/-IkwpJWzlASQ/V3Git9368yI/AAAAAAAAAbs/vGJEQB-8PNgEaqohkHDC4nBuWBNmXLjYQCLcB/s640/DSCF1725.JPG
43,PICEA MUGO,MUGO SPRUCE,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FINE NEEDLES,3B,13,PART SHADE,https://s-media-cache-ak0.pinimg.com/564x/7f/ed/3d/7fed3d8badc12e594ec8062f25edb59f.jpg
44,PINUS MUGO,MUGO PINE,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FINE NEEDLES,3B,13,FULL SUN,http://foothillsnurseries.com/wp-content/uploads/2013/01/mugopine-300x300.jpg
45,ABELIA X GRANDIFLORA ,ABELIA,DECIDUOUS SHRUB,DARK GREEN,BROWN,PINK,SIMPLE LANCEOLATE,4B,13,FULL SUN,http://www.onlineplantguide.com/Image%20Library/A/8480.jpg
46,ABELIOPHYLLUM DISTICHUM,WHITE FORSYTHIA,DECIDUOUS SHRUB,DARK GREEN,BROWN,WHITE,SIMPLE LANCEOLATE,5A,7,FULL SUN,http://www.onlineplantguide.com/Image%20Library/A/10747.jpg
47,BAECKEA VIRGATA,TALL BAECKEA ,CONIFEROUS SHRUB,LIGHT GREEN,LIGHT GREEN,CONES,FINE NEEDLES,5A,15,FULL SUN,http://www.onlineplantguide.com/Image%20Library/B/19340.jpg
48,AESCULUS PAVIA,RED BUCKEYE,DECIDUOUS SHRUB,GREEN,BROWN,"RED, ORANGE",COMPOUND OBLANCEOLATE,5A,7,FULL SUN,http://www.onlineplantguide.com/Image%20Library/A/1248.jpg
49,CALLICARPA DICHOTAMA ' ALBIFRUCTUS',WHITE BEAUTYBERRY,DECIDUOUS SHRUB,GREEN,BROWN,WHITE,SIMPLE OBLONG,5B,13,FULL SUN,http://www.onlineplantguide.com/Image%20Library/C/1970.jpg
50,BACCHARIS HALIMIFOLIA,GROUNDSEL BUSH,DECIDUOUS SHRUB,GREEN,BROWN,WHITE,SIMPLE LANCEOLATE,5A,13,FULL SUN,http://www.onlineplantguide.com/Image%20Library/B/1598.jpg
,,,,,,,,,,,
51,PENNISETUM SETACEUM,FOUNTAINGRASS,DECIDUOUS GRASS,GREEN,BROWN,"WHITE, PINK, RED",BLADES,4A,13,PART SHADE,http://images.midwestliving.mdpcdn.com/sites/midwestliving.com/files/styles/slide/public/100426829a_0.jpg?itok=uICK8Nci
53,FESTUCA GLAUCA,BLUE FESCUE,EVERGREEN GRASS,DARK GREEN,DARK GREEN,BROWN,BLADES,3B,7,PART SHADE,http://images.midwestliving.mdpcdn.com/sites/midwestliving.com/files/styles/slide/public/100355393a.jpg?itok=jvh0KgMw
54,HELICTOTRICHON SEMPERVIRENS,BLUE OAT GRASS,DECIDUOUS GRASS,DARK GREEN,BROWN,WHITE,BLADES,4A,13,FULL SUN,http://images.midwestliving.mdpcdn.com/sites/midwestliving.com/files/styles/slide/public/BHG128089a.jpg?itok=DR137ahN
55,SCHIZACHRYRIUM SCOPARIUM,LITTLE BLUESTEM,DECIDUOUS GRASS,DARK GREEN,GOLD,BROWN,BLADES,3B,15,PART SHADE,https://c4.provenwinners.com/sites/provenwinners.com/files/imagecache/low-resolution/ifa_upload/6b9ae6412315e20dc047f29c825c91ea.jpg
56,CALAMAGROSTIS X ACUTIFLORA,FEATHER REEDGRASS,DECIDUOUS GRASS,PURPLE,GOLD,RED,BLADES,4B,13,FULL SUN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUIinNFyfEWd4ARjOgqDOxs2yYdyUYwpkYbzda36tY1dcKXkBR
